"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"189",32,"d","mass",7.45512820512821,0.0182683011620272,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
"190",32,"f","emer",140.076923076923,1.16084661397375,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
"191",32,"f","grow",0.0582364296006604,0.000446392698409906,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
"192",32,"f","mass",6.71346153846154,0.0120103221422598,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
"193",33,"d","emer",92.4871794871795,0.52018569974165,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"194",33,"d","grow",0.143290668815733,0.000822635080107514,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"195",33,"d","mass",7.44230769230769,0.0194844679499327,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"196",33,"f","emer",135.478260869565,1.2950173236569,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"197",33,"f","grow",0.0606175359040123,0.000626502224677964,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"198",33,"f","mass",6.80217391304348,0.0224725899077071,40,40,15,30,"med","high","strong","none",23,39,62,156.45,290.25,446.7
"199",34,"d","emer",87.875,0.415762641080159,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
"200",34,"d","grow",0.149438629256236,0.000755817527949316,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
"201",34,"d","mass",7.51,0.0175484676809321,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
"202",34,"f","emer",140.041666666667,0.848634805799961,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
